bot,symbol,side,entry_price,exit_price,size,pnl_usdt,pnl_pct,stop_loss,take_profit,exit_reason,entry_time,exit_time,duration_min
Bot3_Momentum,SOL/USDT,buy,86.6,86.56,33.653846,-1.3462,-0.0462,86.6109,86.8971,sl,2026-05-17 16:28:25,2026-05-17 16:38:26,10.02
Bot1_Trend,SOL/USDT,buy,86.86,86.88,36.082474,0.7216,0.023,86.8975,87.1371,sl,2026-05-17 21:26:15,2026-05-17 21:36:16,10.02
Bot3_Momentum,SOL/USDT,sell,84.31,84.98,7.592191,-5.0868,-0.7947,84.6406,82.9929,sl,2026-05-17 23:42:48,2026-05-17 23:52:49,10.02
Bot1_Trend,SOL/USDT,sell,84.53,84.97,13.307985,-5.8555,-0.5205,84.9057,83.7786,sl,2026-05-18 07:22:43,2026-05-18 07:27:43,5.01
Bot3_Momentum,SOL/USDT,sell,84.49,84.31,21.341463,3.8415,0.213,84.3083,84.0214,sl,2026-05-18 09:58:40,2026-05-18 10:13:41,15.02
Bot1_Trend,SOL/USDT,buy,85.44,85.48,20.348837,0.814,0.0468,85.4811,85.9314,sl,2026-05-18 21:33:18,2026-05-18 21:48:20,15.02
Bot1_Trend,SOL/USDT,sell,84.86,85.1,23.489933,-5.6376,-0.2828,84.9571,84.4343,sl,2026-05-19 04:26:37,2026-05-19 04:36:38,10.02
Bot1_Trend,SOL/USDT,buy,85.5,85.48,19.125683,-0.3825,-0.0234,85.5061,86.0229,sl,2026-05-19 07:38:54,2026-05-19 07:53:55,15.02
Bot1_Trend,SOL/USDT,sell,84.42,84.44,18.918919,-0.3784,-0.0237,84.3882,83.8914,sl,2026-05-19 19:24:05,2026-05-19 19:34:06,10.02
Bot3_Momentum,SOL/USDT,buy,84.76,84.73,22.875817,-0.6863,-0.0354,84.83,85.1971,sl,2026-05-20 05:14:53,2026-05-20 05:49:57,35.06
Bot1_Trend,SOL/USDT,buy,85.08,84.95,27.34375,-3.5547,-0.1528,84.9664,85.4457,sl,2026-05-20 09:32:24,2026-05-20 09:47:26,15.03
Bot3_Momentum,SOL/USDT,buy,85.09,85.03,33.018868,-1.9811,-0.0705,85.1189,85.3929,sl,2026-05-20 10:32:30,2026-05-20 10:42:31,10.02
Bot3_Momentum,SOL/USDT,sell,84.36,84.75,17.5,-6.825,-0.4623,84.4451,83.7886,sl,2026-05-20 13:38:18,2026-05-20 13:48:19,10.02
Bot3_Momentum,SOL/USDT,buy,85.54,85.67,9.210526,1.1974,0.152,85.8271,86.6257,sl,2026-05-20 14:33:25,2026-05-20 15:03:28,30.05
Bot1_Trend,SOL/USDT,buy,86.26,86.1,9.803922,-1.5686,-0.1855,86.3079,87.28,sl,2026-05-20 16:08:33,2026-05-20 16:18:34,10.02
Bot3_Momentum,SOL/USDT,buy,86.69,86.43,9.28382,-2.4138,-0.2999,86.572,87.7671,sl,2026-05-20 16:48:40,2026-05-20 16:58:41,10.02
Bot1_Trend,SOL/USDT,buy,86.74,86.66,20.833333,-1.6667,-0.0922,86.6796,87.22,sl,2026-05-21 02:25:46,2026-05-21 02:50:49,25.04
Bot1_Trend,SOL/USDT,buy,86.81,86.97,28.455285,4.5528,0.1843,86.9746,87.1614,sl,2026-05-21 03:31:27,2026-05-21 04:31:34,60.11
Bot3_Momentum,SOL/USDT,buy,86.7,87.08,30.701754,11.6667,0.4383,87.0397,87.0257,tp,2026-05-21 07:58:37,2026-05-21 08:13:39,15.02
Bot1_Trend,SOL/USDT,buy,86.69,87.77,13.461538,14.5385,1.2458,87.6461,87.4329,tp,2026-05-21 17:13:01,2026-05-21 17:28:02,15.03
Bot3_Momentum,SOL/USDT,buy,87.76,87.39,10.086455,-3.732,-0.4216,87.6383,88.7514,sl,2026-05-21 17:28:37,2026-05-21 17:48:39,20.03
Bot3_Momentum,SOL/USDT,buy,87.36,87.29,19.337017,-1.3536,-0.0801,87.418,87.8771,sl,2026-05-22 08:19:20,2026-05-22 08:34:21,15.02
Bot3_Momentum,SOL/USDT,sell,85.91,85.06,14.583333,12.3958,0.9894,85.1603,85.2243,tp,2026-05-22 18:37:46,2026-05-22 18:47:47,10.02
Bot3_Momentum,SOL/USDT,sell,85.14,85.45,9.97151,-3.0912,-0.3641,85.414,84.1371,sl,2026-05-22 18:48:20,2026-05-22 18:58:21,10.02
Bot1_Trend,SOL/USDT,sell,84.98,84.96,29.411765,0.5882,0.0235,84.9571,84.64,sl,2026-05-22 22:29:40,2026-05-22 22:39:41,10.02
Bot3_Momentum,SOL/USDT,sell,82.91,81.85,13.513514,14.3243,1.2785,81.9591,82.17,tp,2026-05-23 07:48:23,2026-05-23 07:53:24,5.01
Bot1_Trend,SOL/USDT,buy,85.0,84.9,17.948718,-1.7949,-0.1176,84.9343,85.5571,sl,2026-05-23 19:26:49,2026-05-23 19:36:50,10.02
Bot3_Momentum,SOL/USDT,buy,86.19,86.05,25.0,-3.5,-0.1624,86.0811,86.59,sl,2026-05-24 06:01:42,2026-05-24 06:16:43,15.02
Bot3_Momentum,SOL/USDT,buy,86.42,86.35,24.305556,-1.7014,-0.081,86.4183,86.8314,sl,2026-05-24 06:52:17,2026-05-24 07:12:19,20.03
Bot1_Trend,SOL/USDT,buy,86.34,86.67,36.458333,12.0312,0.3822,86.6039,86.6143,tp,2026-05-24 08:33:00,2026-05-24 09:28:06,55.09
Bot3_Momentum,SOL/USDT,sell,86.17,86.24,29.411765,-2.0588,-0.0812,86.1974,85.745,sl,2026-05-24 13:29:54,2026-05-24 13:44:56,15.03
Bot3_Momentum,SOL/USDT,sell,85.13,85.11,13.618677,0.2724,0.0235,85.0971,84.2121,sl,2026-05-24 14:16:27,2026-05-24 14:26:28,10.02
Bot3_Momentum,SOL/USDT,sell,84.09,84.05,15.625,0.625,0.0476,84.0374,83.29,sl,2026-05-24 21:39:04,2026-05-24 21:49:05,10.02
Bot1_Trend,SOL/USDT,buy,85.66,85.32,15.021459,-5.1073,-0.3969,85.3721,86.4921,sl,2026-05-25 02:15:05,2026-05-25 02:25:06,10.02
Bot1_Trend,SOL/USDT,buy,86.26,86.17,28.0,-2.52,-0.1043,86.1871,86.7064,sl,2026-05-25 18:11:04,2026-05-25 18:26:06,15.03
Bot3_Momentum,SOL/USDT,sell,85.65,85.64,19.774011,0.1977,0.0117,85.6103,85.0179,sl,2026-05-25 19:36:50,2026-05-25 19:46:51,10.02
Bot3_Momentum,SOL/USDT,sell,84.84,84.94,18.518519,-1.8519,-0.1179,84.8857,84.165,sl,2026-05-25 22:39:59,2026-05-25 22:55:01,15.02
Bot1_Trend,SOL/USDT,sell,84.85,84.31,26.315789,14.2105,0.6364,84.3761,84.375,tp,2026-05-26 00:15:40,2026-05-26 00:50:44,35.06
Bot3_Momentum,SOL/USDT,buy,85.05,85.63,18.421053,10.6842,0.682,85.6557,85.7286,sl,2026-05-26 10:22:46,2026-05-26 10:47:49,25.04
Bot1_Trend,SOL/USDT,buy,85.36,85.25,18.229167,-2.0052,-0.1289,85.2518,86.0457,sl,2026-05-26 12:58:34,2026-05-26 13:13:36,15.03
Bot1_Trend,SOL/USDT,sell,83.59,83.85,21.604938,-5.6173,-0.311,83.8104,83.0114,sl,2026-05-26 21:14:18,2026-05-26 21:24:19,10.02
Bot1_Trend,SOL/USDT,buy,84.16,84.14,30.434783,-0.6087,-0.0238,84.2064,84.5707,sl,2026-05-27 07:57:41,2026-05-27 08:12:43,15.03
Bot1_Trend,SOL/USDT,buy,84.25,84.26,25.547445,0.2555,0.0119,84.3268,84.7393,sl,2026-05-27 08:23:19,2026-05-27 08:33:20,10.02
Bot3_Momentum,SOL/USDT,sell,83.75,83.75,19.230769,0.0,0.0,83.6603,83.1,sl,2026-05-27 09:03:55,2026-05-27 09:33:58,30.05
Bot1_Trend,SOL/USDT,buy,84.28,84.11,13.307985,-2.2624,-0.2017,84.2432,85.2193,sl,2026-05-27 12:25:27,2026-05-27 12:35:28,10.02
Bot1_Trend,SOL/USDT,sell,83.41,83.8,8.254717,-3.2193,-0.4676,83.69,81.8957,sl,2026-05-27 14:33:53,2026-05-27 14:53:55,20.03
Bot3_Momentum,SOL/USDT,sell,83.14,82.26,22.151899,19.4937,1.0585,82.3271,82.5757,tp,2026-05-27 21:42:52,2026-05-27 21:47:53,5.01
Bot3_Momentum,SOL/USDT,sell,82.35,82.45,14.893617,-1.4894,-0.1214,82.2629,81.5107,sl,2026-05-27 21:48:43,2026-05-27 21:58:44,10.02
Bot1_Trend,SOL/USDT,sell,64.23,64.33,17.857143,-1.7857,-0.1557,64.2761,63.53,sl,2026-06-10 04:39:23,2026-06-10 04:49:24,10.02
Bot3_Momentum,SOL/USDT,sell,63.75,64.08,8.883249,-2.9315,-0.5176,63.9126,62.3429,sl,2026-06-10 17:39:07,2026-06-10 17:49:08,10.02
Bot1_Trend,SOL/USDT,sell,63.19,62.91,15.909091,4.4545,0.4431,62.8811,62.4043,sl,2026-06-10 20:56:35,2026-06-10 21:16:37,20.03
Bot1_Trend,SOL/USDT,sell,62.5,62.66,12.681159,-2.029,-0.256,62.6364,61.5143,sl,2026-06-10 21:51:42,2026-06-10 22:31:46,40.07
Bot1_Trend,SOL/USDT,buy,64.84,65.19,18.817204,6.586,0.5398,65.3511,65.5043,sl,2026-06-11 03:42:17,2026-06-11 04:02:18,20.03
Bot1_Trend,SOL/USDT,buy,65.31,65.07,17.241379,-4.1379,-0.3675,65.1679,66.035,sl,2026-06-11 04:52:24,2026-06-11 05:02:25,10.02
Bot1_Trend,SOL/USDT,buy,65.45,65.41,25.547445,-1.0219,-0.0611,65.5014,65.9393,sl,2026-06-11 09:37:52,2026-06-11 09:57:54,20.03
Bot1_Trend,SOL/USDT,buy,65.56,65.49,22.727273,-1.5909,-0.1068,65.5386,66.11,sl,2026-06-11 11:13:02,2026-06-11 11:23:03,10.02
Bot3_Momentum,SOL/USDT,buy,66.01,65.67,17.241379,-5.8621,-0.5151,65.8597,66.735,sl,2026-06-11 11:53:02,2026-06-11 12:08:04,15.02
Bot1_Trend,SOL/USDT,sell,65.11,65.43,16.27907,-5.2093,-0.4915,65.4171,64.3421,sl,2026-06-11 13:33:16,2026-06-11 13:38:17,5.01
